,Department,Course Count
0,AANL,2
1,AKKD,5
2,ANTH,121
3,ARAB,35
4,ARAM,3
5,ARCH,59
6,ARME,2
7,ARTH,100
8,ARTV,76
9,ASLG,4
10,ASTR,30
11,BANG,3
12,BASQ,7
13,BCSN,7
14,BIOS,126
15,BUSN,32
16,CATA,17
17,CEGU,98
18,CHDV,50
19,CHEM,52
20,CHIN,27
21,CLCV,54
22,CMLT,78
23,CMSC,81
24,CMST,76
25,COGS,20
26,CRWR,95
27,CZEC,4
28,DATA,22
29,DEMS,15
30,DIGS,12
31,EALC,62
32,ECMA,23
33,ECON,88
34,EGPT,6
35,ENGL,155
36,ENSC,21
37,ENST,121
38,FNDL,78
39,FREN,86
40,GEEZ,1
41,GEOS,42
42,GISC,22
43,GLST,85
44,GNSE,149
45,GREK,12
46,GRMN,29
47,HEBR,11
48,HIND,5
49,HIPS,88
50,HIST,161
51,HMRT,70
52,IRHU,8
53,ITAL,78
54,JAPN,7
55,JWSC,36
56,KAZK,3
57,KORE,10
58,KREY,7
59,LACS,74
60,LATN,14
61,LING,51
62,LLSO,46
63,MAAD,101
64,MACS,17
65,MAPS,1
66,MARA,5
67,MATH,44
68,MDVL,63
69,MENG,62
70,MOGK,3
71,MUSI,76
72,NEAA,13
73,NEHC,90
74,NELG,3
75,NORW,5
76,NSCI,52
77,PBPL,111
78,PERS,4
79,PHIL,49
80,PHYS,16
81,PLSC,79
82,POLI,4
83,PORT,19
84,PPHA,1
85,PSYC,62
86,RDIN,63
87,REES,73
88,RLST,126
89,RUSS,6
90,SALC,70
91,SANS,2
92,SCPD,10
93,SOCI,48
94,SPAN,85
95,SSAD,14
96,STAT,43
97,SUMR,6
98,SWAH,3
99,TAML,2
100,TAPS,53
101,TBTN,2
102,TURK,12
103,URDU,2
104,UZBK,4
105,YDDH,3
